timestamp,mem_used_mb,cpu_used_pct
2026-04-24T11:56:00+00:00,5990,2.4
2026-04-24T11:56:05+00:00,5977,4.8
2026-04-24T11:56:10+00:00,5988,14.3
2026-04-24T11:56:16+00:00,5990,9.7
2026-04-24T11:56:21+00:00,5994,31.8
2026-04-24T11:56:26+00:00,5985,4.8
2026-04-24T11:56:31+00:00,5987,43.6
2026-04-24T11:56:36+00:00,5985,17.1
2026-04-24T11:56:42+00:00,5972,68.3
2026-04-24T11:56:47+00:00,5987,2.4
2026-04-24T11:56:52+00:00,5992,2.4
2026-04-24T11:56:57+00:00,5991,0
2026-04-24T11:57:03+00:00,5985,2.4
2026-04-24T11:57:08+00:00,5981,4.8
2026-04-24T11:57:13+00:00,5983,17.5
2026-04-24T11:57:18+00:00,5988,4.8
2026-04-24T11:57:23+00:00,5981,7.2
2026-04-24T11:57:29+00:00,5981,5
2026-04-24T11:57:34+00:00,5978,2.4
2026-04-24T11:57:39+00:00,5987,4.8
2026-04-24T11:57:44+00:00,5990,4.8
2026-04-24T11:57:50+00:00,5996,2.4
2026-04-24T11:57:55+00:00,5988,7.2
2026-04-24T11:58:00+00:00,5987,2.5
2026-04-24T11:58:05+00:00,5977,2.4
2026-04-24T11:58:10+00:00,5978,7
2026-04-24T11:58:16+00:00,5982,2.4
2026-04-24T11:58:21+00:00,5992,4.8
2026-04-24T11:58:26+00:00,5986,14.2
2026-04-24T11:58:31+00:00,5993,4.8
2026-04-24T11:58:36+00:00,5986,9.6
2026-04-24T11:58:42+00:00,5981,47.5
2026-04-24T11:58:47+00:00,5989,2.4
2026-04-24T11:58:52+00:00,5990,4.8
2026-04-24T11:58:57+00:00,5984,4.8
2026-04-24T11:59:03+00:00,5986,4.8
2026-04-24T11:59:08+00:00,5980,4.8
2026-04-24T11:59:13+00:00,5986,2.4
2026-04-24T11:59:18+00:00,5995,2.4
2026-04-24T11:59:23+00:00,5997,2.5
2026-04-24T11:59:29+00:00,5988,4.8
2026-04-24T11:59:34+00:00,5998,2.5
2026-04-24T11:59:39+00:00,5998,4.8
2026-04-24T11:59:44+00:00,5987,35
2026-04-24T11:59:50+00:00,5983,4.8
2026-04-24T11:59:55+00:00,5975,2.4
2026-04-24T12:00:00+00:00,6003,0
2026-04-24T12:00:05+00:00,5993,22
2026-04-24T12:00:10+00:00,6001,4.8
2026-04-24T12:00:16+00:00,5984,36.6
2026-04-24T12:00:21+00:00,5988,21.4
2026-04-24T12:00:26+00:00,5979,60
2026-04-24T12:00:31+00:00,5986,4.8
2026-04-24T12:00:37+00:00,5987,18.7
2026-04-24T12:00:42+00:00,5980,36.6
2026-04-24T12:00:47+00:00,5981,4.8
2026-04-24T12:00:52+00:00,5975,4.8
2026-04-24T12:00:57+00:00,5979,4.8
2026-04-24T12:01:03+00:00,5983,2.4
2026-04-24T12:01:08+00:00,5975,2.4
2026-04-24T12:01:13+00:00,5972,4.8
2026-04-24T12:01:18+00:00,5975,2.4
2026-04-24T12:01:23+00:00,5979,2.4
2026-04-24T12:01:29+00:00,5979,7.3
2026-04-24T12:01:34+00:00,5982,2.4
2026-04-24T12:01:39+00:00,5980,4.8
2026-04-24T12:01:44+00:00,5977,4.8
2026-04-24T12:01:50+00:00,5989,4.8
2026-04-24T12:01:55+00:00,5985,4.8
2026-04-24T12:02:00+00:00,5982,7.3
2026-04-24T12:02:05+00:00,5985,4.8
2026-04-24T12:02:10+00:00,5989,7.2
2026-04-24T12:02:16+00:00,5989,10
2026-04-24T12:02:21+00:00,5986,2.4
2026-04-24T12:02:26+00:00,5988,7.3
2026-04-24T12:02:31+00:00,5986,4.8
2026-04-24T12:02:37+00:00,5981,17.5
2026-04-24T12:02:42+00:00,5978,40
2026-04-24T12:02:47+00:00,5987,17.1
2026-04-24T12:02:52+00:00,5993,4.8
2026-04-24T12:02:57+00:00,5992,2.4
2026-04-24T12:03:03+00:00,5990,2.4
2026-04-24T12:03:08+00:00,5996,22.5
2026-04-24T12:03:13+00:00,5986,7
2026-04-24T12:03:18+00:00,5983,2.4
2026-04-24T12:03:24+00:00,5982,0
2026-04-24T12:03:29+00:00,5989,2.4
2026-04-24T12:03:34+00:00,5981,2.4
2026-04-24T12:03:39+00:00,5983,4.8
2026-04-24T12:03:44+00:00,5978,5
2026-04-24T12:03:50+00:00,5995,2.4
2026-04-24T12:03:55+00:00,5991,2.4
2026-04-24T12:04:00+00:00,5981,22.5
2026-04-24T12:04:05+00:00,5984,14.6
